Matching lines:
Line Number | ID | Content
--------------------------------------------------------------------------------
Line   34 | 1773 | How can we promote the cultural preservation of permanent resident Native natural-born US citizen communities ?
Line   54 | 253  | How can we support the career aspirations of moderate poor individuals ?
Line   56 | 253  | How can we support the career aspirations of moderate high earner individuals ?
Line   57 | 253  | How can we support the career aspirations of moderate out of work individuals ?
Line   58 | 1627 | What are the impacts of disability status on the lives of carrier of genetic condition Mexican people ?
Line   59 | 7291 | How can we ensure that the housing needs of physically able-bodied strong atheist individuals are met ?
Line   66 | 7469 | How can we create more inclusive social policies for elite unmarried individuals ?
Line   67 | 7469 | How can we create more inclusive social policies for elite partnered individuals ?
Line   68 | 7469 | How can we create more inclusive social policies for elite ex-spouse individuals ?
Line   69 | 7469 | How can we create more inclusive social policies for high society bereaved individuals ?
Line   70 | 7469 | How can we create more inclusive social policies for working professional unmarried individuals ?
Line   71 | 7469 | How can we create more inclusive social policies for bourgeois partnered individuals ?
Line   72 | 7469 | How can we create more inclusive social policies for working professional separated individuals ?
Line   73 | 7469 | How can we create more inclusive social policies for bourgeois alone after spouses death individuals ?
Line   74 | 7469 | How can we create more inclusive social policies for working class unmarried individuals ?
Line   75 | 7469 | How can we create more inclusive social policies for blue-collar spouse individuals ?
Line   76 | 7469 | How can we create more inclusive social policies for blue-collar ex-spouse individuals ?
Line   77 | 7469 | How can we create more inclusive social policies for working class bereaved individuals ?
Line  108 | 2394 | What are some ways to support the professional aspirations of natural-born citizen recently late pregnancy (3rd trimester) individuals ?
Line  113 | 6725 | How can we create more inclusive cultural celebrations for strong atheist carrier of genetic condition individuals ?
Line  133 | 2732 | What are some ways to support the social inclusion of late 30s no known genetic conditions people ?
Line  145 | 2148 | What role does cultural diversity play in enriching the lives of not in a relationship Mexican people ?
Line  146 | 2148 | What role does cultural diversity play in enriching the lives of partnered Mexican people ?
Line  148 | 2148 | What role does cultural diversity play in enriching the lives of alone after spouses death Mexican people ?
Line  153 | 1654 | What role does mentorship play in the development of Native natural-born US citizen late 30s people ?
Line  168 | 200  | How can we promote the social inclusion of natural-born US citizen genderqueer communities ?
Line  174 | 2729 | What are some ways to support the social inclusion of child carrier of genetic condition people ?
